연번,관리번호,위치,설치장소,기구명,데이터기준일
355,소양면-명덕리-평리마을-3,소양면 명덕리 1299,소양면 명덕리 1299,큰활차머신,2023-02-01
356,소양면-명덕리-평리마을-3,소양면 명덕리 1299,소양면 명덕리 1299,트위스트머신,2023-02-01
357,소양면-명덕리-평리마을-3,소양면 명덕리 1299,소양면 명덕리 1299,스윙워커,2023-02-01
358,소양면-명덕리-평리마을-3,소양면 명덕리 1299,소양면 명덕리 1299,노젖기운동,2023-02-01
359,소양면-명덕리-삼태마을-4,소양면 명덕리 612-2,삼태마을회관 앞,말타기,2023-02-01
360,소양면-명덕리-삼태마을-4,소양면 명덕리 612-2,삼태마을회관 앞,3인허리돌리기,2023-02-01
361,소양면-죽절리-인덕마을-5,소양면 죽절리 70-1,체엄관 뒷편,원그리기+팔관절운동,2023-02-01
362,소양면-죽절리-인덕마을-5,소양면 죽절리 70-1,체엄관 뒷편,달리기+하늘걷기,2023-02-01
363,소양면-죽절리-인덕마을-5,소양면 죽절리 70-1,체엄관 뒷편,허리돌리기,2023-02-01
364,소양면-황운리-상망표마을-6,소양면 황운리 550,마을 저수지 아래,허리돌리기,2023-02-01
365,소양면-황운리-상망표마을-6,소양면 황운리 550,마을 저수지 아래,공중걷기,2023-02-01
366,소양면-황운리-하망표마을-7,소양면 황운리 462-1,버스정류장 옆,허리돌리기,2023-02-01
367,소양면-황운리-하망표마을-7,소양면 황운리 462-1,버스정류장 옆,공중걷기,2023-02-01
368,소양면-황운리-마수마을-8,소양면 황운리 65-4,소양면 황운리 65-4,허리돌리기,2023-02-01
369,소양면-황운리-마수마을-8,소양면 황운리 65-4,소양면 황운리 65-4,양팔줄당기기+철봉운동기,2023-02-01
370,소양면-황운리-마수마을-8,소양면 황운리 65-4,소양면 황운리 65-4,달리기+공중걷기,2023-02-01
371,소양면-황운리-마수마을-9,소양면 송광수만로 71,봉덕교 앞,달리기+하늘걷기,2023-02-01
372,소양면-황운리-마수마을-9,소양면 송광수만로 71,봉덕교 앞,달리기,2023-02-01
373,소양면-황운리-마수마을-9,소양면 송광수만로 71,봉덕교 앞,앉아당기기,2023-02-01
374,소양면-황운리-마수마을-9,소양면 송광수만로 71,봉덕교 앞,3인허리돌리기,2023-02-01
375,소양면-황운리-마수마을-9,소양면 송광수만로 71,봉덕교 앞,원그리기,2023-02-01
376,소양면-대흥리-문화마을-10,소양면 대흥리 1046,소양면 대흥리 1046,자유평행봉,2023-02-01
377,소양면-대흥리-문화마을-10,소양면 대흥리 1046,소양면 대흥리 1046,등허리지압기,2023-02-01
378,소양면-대흥리-문화마을-10,소양면 대흥리 1046,소양면 대흥리 1046,3인허리돌리기,2023-02-01
379,소양면-대흥리-문화마을-10,소양면 대흥리 1046,소양면 대흥리 1046,앉아다리밀기,2023-02-01
380,소양면-대흥리-대흥마을-11,소양면 대흥리 682-7,소양면 대흥리 682-7,큰활차돌리기+역기내리기+파도타기,2023-02-01
381,소양면-대흥리-대흥마을-11,소양면 대흥리 682-7,소양면 대흥리 682-7,자전거타기+허리돌리기+공중걷기,2023-02-01
382,소양면-대흥리-송광2마을-12,소양면 신지송광로 908,마을회관 옆,트위스트머신+워킹트레이너머신,2023-02-01
383,소양면-대흥리-송광2마을-12,소양면 신지송광로 908,마을회관 옆,큰활차머신+체스트업머신,2023-02-01
384,소양면-황운리-오성마을-13,소양면 대흥리 1002,소양면 대흥리 1002,온몸허리돌리기,2023-02-01
385,소양면-황운리-오성마을-13,소양면 대흥리 1002,소양면 대흥리 1002,가로하늘타기+하늘걷기,2023-02-01
386,소양면-황운리-오성마을-13,소양면 대흥리 1002,소양면 대흥리 1002,하늘걷기,2023-02-01
387,소양면-황운리-오성마을-13,소양면 대흥리 1002,소양면 대흥리 1002,앉아밀어주기+앉아당기기,2023-02-01
388,소양면-황운리-오성마을-13,소양면 대흥리 1002,소양면 대흥리 1002,달리기,2023-02-01
