소재지,운동기구1,운동기구2,운동기구3,운동기구4,운동기구5,운동기구6,운동기구7,운동기구8,운동기구9,운동기구10,운동기구11,운동기구12,관리부서
충청남도 천안시 성거읍 정자2길 20-6,공중걷기,온몸허리돌리기,옆파도타기,어깨근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 삼곡1길 28-16,파도타기+레그프레스,허리돌리기+윗몸일으키기,상체근육풀기,,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 모전2길 103,공중걷기+노젓기,허리돌리기+등허리지압기,파도타기+오금펴기,,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 망향로 830-8,오금펴기+파도타기,허리돌리기+등허리지압기,어깨유연성운동,공중걷기+달리기,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 봉주로 75,매달리기,위몸일으키기,어깨근육풀기,역기올리기+역기내리기,달리기,공중걷기,허리돌리기,,,,,,체육진흥과
충청남도 천안시 성거읍 천흥리 533-11,오금펴기+상체근육풀기,파도타기+허벅지+종아리맛사지,허리돌리기+공중걷기,,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 요방길 13,오금펴기+파도타기,공중걷기+노젓기,허리돌리기+여깨유연성운동,상체근육풀기,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 선거신용길 5-6,파도타기+공중걷기,자전거타기+허리돌리기,달리기+큰활차머신,,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 봉주로 120,공중걷기,달리기,살체근육풀기,,,,,,,,,,체육진흥과
충청남도 천안시 성거읍 천흥4길 89-6,공중걷기+허리돌리기,등허리지압기+파도타기,상체근육풀기+로프당기기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 부송리 45-5,철봉+줄당기기,허리돌리기,노젓기,마라톤운동,윗몸일으키기,오금펴기,역기올리기,어깨근육풀기,상체근육풀기,공중걷기,,,체육진흥과
충청남도 천안시 직산읍 덕녕굴길 22-1,허리돌리기+공중걷기,큰활차+달리기,다리뻗치기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 상덕리 211-36,등허리지압기,허리돌리기,큰활차머신,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 군동리 88-2,허리돌리기,팔관절운동,윗몸일으키기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 군동리 90-7,허리돌리기,어깨근육풀기,다리뻗치기 ,하체근육풀기,마라톤운동,,,,,,,,체육진흥과
충청남도 천안시 직산읍 군동3길 17-6,허리돌리기,큰활차머신 ,등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 자은가리2길 28,허리돌리기,어깨근육풀기+상체근육풀기,등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 상덕1길 11-13,노젓기+공중걷기,파도타기+오금펴기,허리돌리기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 군서1길 38,공중걷기+노젓기,파도타기+오금펴기,등허리지압기+허리돌리기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 신갈1길 40,허리돌리기+등허리지압기,파도타기+오금펴기,,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 양전길 51,옆으로몸통흔들기+공중걷기,어깨근육풀기+몸통흔들기,,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 금곡로 235,허리돌리기+공중걷기,큰활차+달리기,다리뻗치기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 미륵산길 43,몸통흔들기+큰팔돌리기,허리돌리기+공중걷기,종아리맛사지+다리밀기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 모시1길 40-1,허리돌리기+공중걷기,큰활차+달리기,다리뻗치기+등허리지압기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 느르머리길 55,허리돌리기+등허리지압기,오금펴기+파도타기,공중걷기+노젓기,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 남산2길 182,허리돌리기+공중걷기,어깨유연성운동+자전거,,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 군동리 325-1,허리돌리기+공중걷기,큰활차+달리기,,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 군동2길 8,허리돌리기+등허리지압기,오금펴기+파도타기,,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 남산4길 38-2,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 직산읍 군수2길 6,싸이클+허리돌리기,공중걷기+어깨근육풀기,,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 가산리 276-3,허리돌리기,어깨근육풀기,온몸노젓기,윗몸일으키기,역기내리기+올리기,하늘걷기+마라톤운동,등허리지압기,,,,,,체육진흥과
충청남도 천안시 입장면 독정3길 78-1,마라톤운동+하늘걷기,허리돌리기,온몸역기내리기+올리기,,,,,,,,,,체육진흥과
충청남도 천안시 입장면 효아촌하길 19-5,허리돌리기+공중걷기,어깨유연성운동+달리기,,,,,,,,,,,체육진흥과
