설치주소,설치기구 종류,담당부서,설치년도
충청남도 청양군 청남면 천내리 471,공중걷기1개+ 허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 청남면 청소리 376-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 청남면 왕진1리 803-2,공중걷기1개+ 파도타기1개+ 허리돌리기1개+ 상체근육풀기1개,농촌공동체과,2018
충청남도 청양군 청남면 대흥리 234-5,허리돌리기1개+ 상체근육풀기1개, , 
충청남도 청양군 청남면 아산리 154-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2019
충청남도 청양군 청남면 천내리 538,허리돌리기1개+ 옆파도타기1개+ 역기올리기1개,문화체육관광과,2020
충청남도 청양군 청남면 청소리 191,공중걷기1개+허리돌리기1개+상체근육풀기1개+달리기1개,문화체육관광과,
충청남도 청양군 청남면 중산리 814,상체근육풀기1개+허리돌리기1개,문화체육관광과,
충청남도 청양군 청남면 아산리 435-5,역기올리기+오금펴기+ 공중걷기+허리돌리기,문화체육관광과,2021
충청남도 청양군 청남면 중산리 481,공중걷기 + 작은활차+ 허리돌리기 + 큰활차,문화체육관광과,2022
충청남도 청양군 장평면 관현리 464-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 장평면 구룡리 143-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 장평면 구룡리 470,공중걷기1개+ 허리돌리기1개+ 달리기유형1개,문화체육관광과,2014
충청남도 청양군 장평면 락지리 257-11,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2015
충청남도 청양군 장평면 락지리 35,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 장평면 미당리 378-126,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 장평면 분향리 140-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 장평면 분향리 909,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 장평면 은곡리 349-4,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 장평면 적곡리 355,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2013
충청남도 청양군 장평면 적곡리 643-3,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 장평면 죽림리 202-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2017
충청남도 청양군 장평면 죽림리 37,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 장평면 중추리 269-1,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 장평면 중추리 396-26,공중걷기1개+ 파도타기1개+ 달리기유형1개+ 자전거타기1개,문화체육관광과,2017
충청남도 청양군 장평면 중추리 612-43,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2016
충청남도 청양군 장평면 중추리 69,허리돌리기1개+ 상체근육풀기1개,문화체육관광과,2018
충청남도 청양군 장평면 지천리 89,허리돌리기1개+ 상체근육풀기1개+ 달리기유형1개,문화체육관광과,2013
충청남도 청양군 장평면 지천리 167-3,허리돌리기+ 상체근육풀기,문화체육관광과,2019
충청남도 청양군 장평면 적곡리 22-2,달리기유형+ 공중걷기,문화체육관광과,2020
